ERPNext Item Group,Parent Item Group,Is Group,Exported Direct Items,Enabled Direct Items,Disabled Direct Items,Review Status,Matrix Row,Solution Line,Category,Dealers Max Discount %,Traders Max Discount %,Technicians Max Discount %,NGOs / Parastatals Max Discount %,Corporates Max Discount %,End Users / Retail Max Discount %,Notes,Item Name Examples
Solar Accessories,Wt-Parts,0,16,16,0,Accepted,22,Solar Equipment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Solar Pv Cable  Black | Solar Pv Cable Red | Floodlight 200watts with Panel | PV Disc 1000/16A 1ST PV Disconnect switch
SOLAR ITEMS,WATER TREATMENT,0,1,1,0,Accepted,22,Solar Equipment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Air Terminal/Arrestor c/w Clamp Accessories
SOLENOIDS,WTE- PARTS,0,0,0,0,Accepted,32,Share Electricals& Cables,Controls & Electricals,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
STERILIZERS,UV Units,0,0,0,0,Accepted,11,Water Treatment,Consumables,30.0,24.0,21.6,20.52,20.52,18.468,Accepted by user: use proposed Item Group mapping for all items in this group.,
SUBMERSIBLE,WATER PUMPING,1,0,0,0,Accepted,7,Water Pumping,Equipment,40.0,32.0,28.8,27.36,27.36,24.624,Accepted by user: use proposed Item Group mapping for all items in this group.,
SURFACE,Equipments,1,0,0,0,Accepted,7,Water Pumping,Equipment,40.0,32.0,28.8,27.36,27.36,24.624,Accepted by user: use proposed Item Group mapping for all items in this group.,
UFS,WATER TREATMENT,0,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
UV Units,WATER TREATMENT,1,0,0,0,Accepted,11,Water Treatment,Consumables,30.0,24.0,21.6,20.52,20.52,18.468,Accepted by user: use proposed Item Group mapping for all items in this group.,
Valves,Plumbing Fittings &Accessories,0,32,32,0,Accepted,30,Shared Piping / Hardware,Plumbing & Piping Accessories,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,"Non return valve Peglar ss 1/2'' | Brass Non return Valve  4"" | Brass Ball Valve 4"" | Stainless Steel Tank 100L"
Vessels,Equipments,0,25,25,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,FRP Vessel: 8040-3 300psi | FRP Vessel: 4040-2 1200 psi | FRP Vessel: 8040-4 1000psi | FRP Vessel: 8040-4 1200psi
Vessels Accessories,Wt-Parts,0,16,16,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,"End lid  for FRP 4040 vessel | Metallic Plate for FRP 4040 End Cap | Clamps for 8040 Vessel DN 50 | Vacuum Breaker 2"""
Water Analysis Reagents,Wt-Chemicals,0,8,8,0,Accepted,14,Water Treatment Chemicals & Media,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Esence | Colour | Phenol Red Tablet | Vario Ferro
WATER METER,Water Metrs,0,0,0,0,Accepted,24,Specialized Industrial Products,Equipment,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,
Water Meter Accessories,Wt-Parts,0,10,10,0,Accepted,27,Specialized Industrial Products,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Lora Concentrator SM | Lora Mobile Reader | Flange DN15 PVC | Water Meter Demo Kit Stand
Water Metrs,Metering,1,0,0,0,Accepted,24,Specialized Industrial Products,Equipment,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,
WATER PURIFIER,All Item Groups,0,1,1,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Motherboard For Auto Dispenser
Wt-Brine Tanks,Wt-Parts,1,5,5,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Brine TanK 70L | Brine Tank 145L | Brine Tank 130 L | Brine Tank 80L
